year	p
1976	0.9081803005008348
1978	0.925242718446602
1980	0.9116883116883117
1982	0.9071803852889667
1984	0.9179620034542314
1986	0.9073705179282868
1988	0.9116234390009607
1990	0.898
1992	0.87409551374819106
1994	0.8617021276595744
1996	0.8371634931057124
1998	0.8610460577673692
2000	0.8602150537634409
2002	0.8615622583139985
2004	0.8542673107890499
2006	0.8541157294213529
2008	0.8669910786699108
2010	0.8748148148148148
2012	0.8298204527712725
2014	0.8365145228215768
2016	0.8430278884462151
2018	0.7779690189328744
2020	0.7520193861066236
2022	0.77737881508079
