year	p
1976	0.754356846473029
1978	0.7548262548262549
1980	0.7579399141630901
1982	0.7352941176470589
1984	0.6490179333902647
1986	0.7069813176007866
1988	0.7127962085308057
1990	0.722057368941642
1992	0.6578382247673586
1994	0.669877408056042
1996	0.6644993498049415
1998	0.6842513576415826
2000	0.6666666666666666
2002	0.667176740627391
2004	0.6632247815726767
2006	0.6698795180722892
2008	0.6506794564348521
2010	0.6528081692195478
2012	0.6140888208269525
2014	0.6266233766233766
2016	0.6007782101167315
2018	0.5802980132450332
2020	0.48852701702442636
2022	0.505332239540607
